================ Training Loss (Tue Apr  2 12:30:15 2024) ================
(epoch: 20, iters: 100, time: 0.127, data: 0.187) D_A: 0.125 G_A: 0.545 cycle_A: 0.416 idt_A: 0.396 D_B: 0.184 G_B: 0.452 cycle_B: 0.995 idt_B: 0.206 
(epoch: 20, iters: 200, time: 0.127, data: 0.001) D_A: 0.226 G_A: 0.354 cycle_A: 0.456 idt_A: 0.330 D_B: 0.182 G_B: 0.440 cycle_B: 0.775 idt_B: 0.219 
(epoch: 20, iters: 300, time: 0.127, data: 0.001) D_A: 0.099 G_A: 0.604 cycle_A: 0.379 idt_A: 0.461 D_B: 0.190 G_B: 0.918 cycle_B: 1.062 idt_B: 0.132 
(epoch: 20, iters: 400, time: 0.366, data: 0.001) D_A: 0.246 G_A: 0.273 cycle_A: 0.346 idt_A: 0.335 D_B: 0.094 G_B: 0.272 cycle_B: 0.821 idt_B: 0.139 
(epoch: 21, iters: 100, time: 0.127, data: 0.171) D_A: 0.138 G_A: 0.471 cycle_A: 0.509 idt_A: 0.218 D_B: 0.156 G_B: 0.679 cycle_B: 0.685 idt_B: 0.087 
(epoch: 21, iters: 200, time: 0.127, data: 0.001) D_A: 0.196 G_A: 0.614 cycle_A: 0.431 idt_A: 0.385 D_B: 0.179 G_B: 0.690 cycle_B: 1.014 idt_B: 0.103 
(epoch: 21, iters: 300, time: 0.127, data: 0.001) D_A: 0.323 G_A: 0.673 cycle_A: 0.399 idt_A: 0.363 D_B: 0.413 G_B: 0.187 cycle_B: 0.888 idt_B: 0.152 
(epoch: 21, iters: 400, time: 0.378, data: 0.001) D_A: 0.155 G_A: 0.558 cycle_A: 0.370 idt_A: 0.337 D_B: 0.189 G_B: 0.462 cycle_B: 0.848 idt_B: 0.121 
(epoch: 22, iters: 100, time: 0.127, data: 0.151) D_A: 0.213 G_A: 0.639 cycle_A: 0.206 idt_A: 0.303 D_B: 0.086 G_B: 0.150 cycle_B: 0.736 idt_B: 0.070 
(epoch: 22, iters: 200, time: 0.127, data: 0.001) D_A: 0.150 G_A: 0.252 cycle_A: 0.340 idt_A: 0.315 D_B: 0.199 G_B: 0.577 cycle_B: 0.782 idt_B: 0.116 
(epoch: 22, iters: 300, time: 0.127, data: 0.001) D_A: 0.214 G_A: 0.341 cycle_A: 0.543 idt_A: 0.228 D_B: 0.111 G_B: 0.131 cycle_B: 0.551 idt_B: 0.200 
(epoch: 22, iters: 400, time: 0.406, data: 0.001) D_A: 0.112 G_A: 0.668 cycle_A: 0.409 idt_A: 0.428 D_B: 0.047 G_B: 0.626 cycle_B: 1.017 idt_B: 0.130 
(epoch: 23, iters: 100, time: 0.127, data: 0.170) D_A: 0.250 G_A: 1.086 cycle_A: 0.390 idt_A: 0.348 D_B: 0.193 G_B: 0.210 cycle_B: 1.123 idt_B: 0.194 
(epoch: 23, iters: 200, time: 0.127, data: 0.001) D_A: 0.222 G_A: 0.285 cycle_A: 0.598 idt_A: 0.344 D_B: 0.142 G_B: 0.265 cycle_B: 1.080 idt_B: 0.155 
(epoch: 23, iters: 300, time: 0.127, data: 0.002) D_A: 0.041 G_A: 0.979 cycle_A: 0.408 idt_A: 0.203 D_B: 0.245 G_B: 1.732 cycle_B: 0.519 idt_B: 0.191 
(epoch: 23, iters: 400, time: 0.365, data: 0.001) D_A: 0.066 G_A: 0.496 cycle_A: 0.734 idt_A: 0.289 D_B: 0.265 G_B: 0.836 cycle_B: 0.922 idt_B: 0.084 
(epoch: 24, iters: 100, time: 0.127, data: 0.199) D_A: 0.118 G_A: 0.351 cycle_A: 0.269 idt_A: 0.225 D_B: 0.248 G_B: 0.333 cycle_B: 0.552 idt_B: 0.094 
(epoch: 24, iters: 200, time: 0.127, data: 0.001) D_A: 0.130 G_A: 0.550 cycle_A: 0.294 idt_A: 0.352 D_B: 0.078 G_B: 0.446 cycle_B: 1.057 idt_B: 0.066 
(epoch: 24, iters: 300, time: 0.127, data: 0.001) D_A: 0.148 G_A: 0.366 cycle_A: 0.303 idt_A: 0.304 D_B: 0.102 G_B: 0.531 cycle_B: 0.781 idt_B: 0.095 
(epoch: 24, iters: 400, time: 0.382, data: 0.001) D_A: 0.133 G_A: 0.436 cycle_A: 0.313 idt_A: 0.214 D_B: 0.119 G_B: 0.553 cycle_B: 0.592 idt_B: 0.081 
(epoch: 25, iters: 100, time: 0.128, data: 0.160) D_A: 0.093 G_A: 0.542 cycle_A: 0.362 idt_A: 0.411 D_B: 0.121 G_B: 0.740 cycle_B: 0.887 idt_B: 0.119 
(epoch: 25, iters: 200, time: 0.127, data: 0.001) D_A: 0.315 G_A: 0.864 cycle_A: 0.374 idt_A: 0.361 D_B: 0.158 G_B: 0.331 cycle_B: 0.838 idt_B: 0.072 
(epoch: 25, iters: 300, time: 0.127, data: 0.001) D_A: 0.098 G_A: 0.401 cycle_A: 0.348 idt_A: 0.406 D_B: 0.216 G_B: 0.530 cycle_B: 1.014 idt_B: 0.142 
(epoch: 25, iters: 400, time: 0.353, data: 0.001) D_A: 0.180 G_A: 0.293 cycle_A: 0.293 idt_A: 0.209 D_B: 0.106 G_B: 0.779 cycle_B: 0.513 idt_B: 0.126 
(epoch: 26, iters: 100, time: 0.127, data: 0.131) D_A: 0.100 G_A: 0.451 cycle_A: 0.309 idt_A: 0.408 D_B: 0.249 G_B: 0.145 cycle_B: 0.988 idt_B: 0.085 
(epoch: 26, iters: 200, time: 0.128, data: 0.001) D_A: 0.064 G_A: 0.204 cycle_A: 0.281 idt_A: 0.214 D_B: 0.090 G_B: 0.872 cycle_B: 0.513 idt_B: 0.081 
